expected_profit,CVaR_0.95
172.49653315153776,172.49653315153776
172.2093741399553,172.2093741399553
171.85509748799336,171.85509748799336
171.70648056579947,171.70648056579947
171.42325796020432,171.42325796020432
170.9041097001675,170.9041097001675
170.5513269734517,170.5513269734517
170.317786627196,170.317786627196
169.78073576310635,169.78073576310635
169.42950286662852,169.42950286662852
169.2172437961431,169.2172437961431
168.94413055632006,168.94413055632006
168.69550694301333,168.69550694301333
168.39002635171985,168.39002635171985
168.25302040043604,168.25302040043604
167.90695171103874,167.90695171103874
167.4070137191015,167.4070137191015
166.71257903007287,166.71257903007287
166.5220930510467,166.5220930510467
165.93127847113735,165.93127847113735
165.55701578668936,165.55701578668936
165.4223395409703,165.4223395409703
165.04442743443317,165.04442743443317
164.68975240780514,164.68975240780514
163.97068747270146,163.97068747270146
163.59060030374027,163.59060030374027
163.21412035005196,163.21412035005196
162.83305662980194,162.83305662980194
162.55831673460386,162.55831673460386
162.2621264919673,162.2621264919673
161.93085421961186,161.93085421961186
161.6298206153976,161.6298206153976
161.36728122811328,161.36728122811328
161.12570091301998,161.12570091301998
160.9106075401626,160.9106075401626
160.53194968957092,160.53194968957092
160.03953411832006,160.03953411832006
159.18565772812465,159.18565772812465
158.28328283342438,158.28328283342438
157.91892810282846,157.91892810282846
157.53224458103958,157.53224458103958
156.70797018221893,156.70797018221893
156.54033655800225,156.54033655800225
156.05976153757592,156.05976153757592
155.71829631458766,155.71829631458766
155.25064312077762,155.25064312077762
155.0582558706744,155.0582558706744
154.85133529730024,154.85133529730024
154.49331065743837,154.49331065743837
154.0743393575397,154.0743393575397
153.75809444764738,153.75809444764738
153.1441115538769,153.1441115538769
152.76950584994464,152.76950584994464
151.94570263578316,151.94570263578316
151.6049600777294,151.6049600777294
151.2253927822653,151.2253927822653
150.57022069300686,150.57022069300686
150.1055883344377,150.1055883344377
149.72564158091058,149.72564158091058
149.32125644693838,149.32125644693838
149.05707449360898,149.05707449360898
148.80078849230094,148.80078849230094
148.5491364651146,148.5491364651146
148.25059557270825,148.25059557270825
147.57709595838858,147.57709595838858
147.3254700603115,147.3254700603115
146.7454783916549,146.7454783916549
146.51102128835552,146.51102128835552
146.16577056355283,146.16577056355283
145.82027996312894,145.82027996312894
145.68385238889329,145.68385238889329
145.11772979533433,145.11772979533433
144.75201549523408,144.75201549523408
144.18795399599023,144.18795399599023
143.3126352750696,143.3126352750696
142.99658188063185,142.99658188063185
142.4976873769708,142.4976873769708
142.31237717647693,142.31237717647693
142.07940897177718,142.07940897177718
141.8159168194767,141.8159168194767
141.23183294235147,141.23183294235147
140.92905379341389,140.92905379341389
140.37181688152074,140.37181688152074
140.00785875582542,140.00785875582542
